8	otte		talord	11038110
8-tal	ottetal		sb.	11038119
8-års	otteårs		adj.	11038122
90'er	halvfemser		sb.	11019659
90.	halvfemsindstyvende		talord	11019661
90	halvfemsindstyve		talord	11019660
90	halvfems		talord	11019657
90	niti		talord	11036007
94	fireoghalvfems		talord	50002191
95	nitifem		talord	53002815
9'ere	nier		sb.	11035965
9'er	nier		sb.	11035965
9'ers	nier		sb.	11035965
9.	niende		talord	11035963
9	ni		talord	11035952
9-tal	nital		sb.	11036006
9-års	niårs		adj.	11036039
A-38	A38®		sb.	11000020
A38	A38®		sb.	11000020
A-38s	A38®		sb.	11000020
A38s	A38®		sb.	11000020
A3	A3		sb.	11000019
A3s	A3		sb.	11000019
A4	A4		sb.	11000021
A4s	A4		sb.	11000021
A5	A5		sb.	11000022
A5s	A5		sb.	11000022
a-	a-	1	præfiks	11000014
A	A	1	sb.	11000013
a	A	1	sb.	11000013
a-	a-	2	præfiks	11000017
A	A	2	symbol	11000016
a	a	3	fork.	11000015
a	a	4	præp.	11000018
a-	ab-		præfiks	11000025
a	ae		vb.	11000268
ab	abe	2	vb.	11000034
ab-	ab-		præfiks	11000025
ab	ab		præp.	11000024
abbed	abbed		sb.	11000026
ABC	ABC		sb.	11000029
abc	ABC		sb.	11000029
ABC's	ABC		sb.	11000029
abc's	ABC		sb.	11000029
abe	abe	1	sb.	11000033
abe	abe	2	vb.	11000034
abede	abe	2	vb.	11000034
-abel	-abel		suffiks	11000041
aben	abe	1	sb.	11000033
abens	abe	1	sb.	11000033
aber	abe	1	sb.	11000033
aber	abe	2	vb.	11000034
abers	abe	1	sb.	11000033
abes	abe	1	sb.	11000033
abes	abe	2	vb.	11000034
abet	abe	2	vb.	11000034
-able	-abel		suffiks	11000041
abort	abort		sb.	11000065
abs-	ab-		præfiks	11000025
ABS	ABS		fork.	46001467
abs	ABS		fork.	46001467
a c.	a c.		fork.	11000100
ac.	a c.		fork.	11000100
Ac	Ac		symbol	41001860
acc-	ad-		præfiks	11000138
acces	acces		sb.	11000116
AC'er	AC'er		sb.	49201620
ac'er	AC'er		sb.	49201620
acid	acid		sb.	11000130
acids	acid		sb.	11000130
act.	act.		fork.	11000134
ADA	ada		sb.	11000144
ada	ada		sb.	11000144
ad	ad	1	udråbsord	11000140
ad	AD	2	sb.	11000137
ad	ad	3	adv.	11000141
ad	ad	4	præp.	11000142
ad	ad	5	præp.	11000143
A.D.	A.D.		fork.	46000632
ad-	ad-		præfiks	11000138
AD	AD		sb.	11000137
Adam	Adam		egennavn	11000146
ADAs	ada		sb.	11000144
adas	ada		sb.	11000144
adder	addere		vb.	11000156
adel	adel		sb.	11000160
adels	adel		sb.	11000160
ad'en	AD	2	sb.	11000137
AD'en	AD		sb.	11000137
adept	adept		sb.	11000169
ad'er	AD	2	sb.	11000137
AD'er	AD		sb.	11000137
ADHD	ADHD		sb.	40000049
adhd	ADHD		sb.	40000049
ADHDs	ADHD		sb.	40000049
adhds	ADHD		sb.	40000049
adj.	adj.		fork.	11000188
adjø	adjø		udråbsord	11000194
adl	adle		vb.	11000196
adle	adle		vb.	11000196
adled	adled		sb.	11000197
adlen	adel		sb.	11000160
adler	adle		vb.	11000196
adles	adle		vb.	11000196
adlet	adle		vb.	11000196
adlyd	adlyde		vb.	11000199
adlød	adlyde		vb.	11000199
adm.	adm.		fork.	11000200
adr.	adr.		fork.	11000219
adræt	adræt		adj.	11000227
AD's	AD	2	sb.	11000137
ad's	AD	2	sb.	11000137
A-dur	A-dur		sb.	11000239
adv.	adv.		fork.	11000240
advar	advare		vb.	11000241
advis	advis		sb.	11000255
ae	ae		vb.	11000268
aede	ae		vb.	11000268
aende	ae		vb.	11000268
A'er	A	1	sb.	11000013
a'er	A	1	sb.	11000013
aer	ae		vb.	11000268
aero-	aero-		præfiks	11000269
aerob	aerob		adj.	11000270
A'ers	A	1	sb.	11000013
a'ers	A	1	sb.	11000013
aes	ae		vb.	11000268
A'et	A	1	sb.	11000013
a'et	A	1	sb.	11000013
aet	ae		vb.	11000268
A'ets	A	1	sb.	11000013
a'ets	A	1	sb.	11000013
af	af	1	adv.	11000282
af	af	2	præp.	11000283
afart	afart		sb.	11000284
afasi	afasi		sb.	11000285
afbag	afbage		vb.	11000288
afbed	afbide		vb.	11000299
afbid	afbide		vb.	11000299
afbud	afbud		sb.	11000315
afbød	afbøde		vb.	11000318
afbøj	afbøje		vb.	11000319
afd.	afd.		fork.	11000321
afdæk	afdække		vb.	11000338
afdød	afdød		adj.	11000342
aff-	ad-		præfiks	11000138
affas	affase		vb.	11000364
affat	affatte		vb.	11000365
affej	affeje		vb.	11000368
affyr	affyre		vb.	11000389
affød	afføde		vb.	11000395
affør	afføre		vb.	11000396
afg.	afg.		fork.	11000400
afgas	afgasse		vb.	11000410
afgav	afgive		vb.	11000423
afgik	afgå		vb.	11000443
afgiv	afgive		vb.	11000423
afgud	afgud		sb.	11000437
afgør	afgøre		vb.	11000440
afgå	afgå		vb.	11000443
afgår	afgå		vb.	11000443
afgås	afgå		vb.	11000443
afhug	afhugge		vb.	11000462
afhør	afhøre		vb.	11000469
afhår	afhåre		vb.	11000473
afis	afise		vb.	11000478
afise	afise		vb.	11000478
afjog	afjogge		vb.	41002259
afjog	afjog		sb.	41002261
afkod	afkode		vb.	11000494
afkog	afkoge		vb.	11000496
afkog	afkog		sb.	11000495
afkom	afkom		sb.	11000499
afkøb	afkøbe		vb.	11000509
afkøl	afkøle		vb.	11000510
aflad	aflade		vb.	11000513
aflad	aflad		sb.	11000512
afled	aflede		vb.	11000523
aflir	aflire		vb.	11000531
afliv	aflive		vb.	11000532
aflok	aflokke		vb.	11000533
afluk	aflukke	2	vb.	11000535
aflur	aflure		vb.	11000537
aflus	afluse		vb.	11000538
aflyd	aflyd		sb.	11000539
aflys	aflyse		vb.	11000540
aflyt	aflytte		vb.	11000543
aflæg	aflægge		vb.	11000544
aflær	aflære		vb.	11000549
aflæs	aflæse		vb.	11000550
aflæs	aflæsse		vb.	11000555
afløb	afløb		sb.	11000556
afløn	aflønne		vb.	11000559
afløs	afløse		vb.	11000561
afløv	afløve		vb.	11000565
aflås	aflåse		vb.	11000566
afmal	afmale		vb.	11000574
afmat	afmatte		vb.	11000579
afmål	afmåle		vb.	11000590
afpas	afpasse		vb.	11000596
afpil	afpille		vb.	11000599
afr.	afr.		fork.	11000610
afret	afrette		vb.	11000621
afrev	afrive		vb.	11000630
afrim	afrime		vb.	11000629
afriv	afrive		vb.	11000630
afro-	afro-		præfiks	11000632
afrus	afruse		vb.	53400010
afs.	afs.		fork.	11000644
afsat	afsætte		vb.	11000799
afsav	afsave		vb.	11000648
afse	afse		vb.	11000650
afser	afse		vb.	11000650
afses	afse		vb.	11000650
afset	afse		vb.	11000650
afsig	afsige		vb.	11000659
afsky	afsky	1	sb.	11000693
afsky	afsky	2	vb.	11000694
afslå	afslå		vb.	11000722
afson	afsone		vb.	11000736
afsti	afsti		udråbsord	41002619
afstå	afstå		vb.	11000786
afsyr	afsyre		vb.	11000795
